"id","artifact_id","version","path","full_name","category","status"
2,ST4,"4.0.4",hdfs://nameservice1/var/lib/spark/Data/ST4-4.0.4.jar,ST4-4.0.4.jar,COMMON,1
3,aggdesigner-algorithm,"6.0",hdfs://nameservice1/var/lib/spark/Data/aggdesigner-algorithm-6.0.jar,aggdesigner-algorithm-6.0.jar,COMMON,1
4,antlr-runtime,"3.5.2",hdfs://nameservice1/var/lib/spark/Data/antlr-runtime-3.5.2.jar,antlr-runtime-3.5.2.jar,COMMON,1
5,apache-log4j-extras,"1.2.17",hdfs://nameservice1/var/lib/spark/Data/apache-log4j-extras-1.2.17.jar,apache-log4j-extras-1.2.17.jar,COMMON,1
6,avatica,"1.12.0",hdfs://nameservice1/var/lib/spark/Data/avatica-1.12.0.jar,avatica-1.12.0.jar,COMMON,1
7,bonecp,"0.8.0.RELEASE",hdfs://nameservice1/var/lib/spark/Data/bonecp-0.8.0.RELEASE.jar,bonecp-0.8.0.RELEASE.jar,COMMON,1
8,caffeine,"2.3.5",hdfs://nameservice1/var/lib/spark/Data/caffeine-2.3.5.jar,caffeine-2.3.5.jar,COMMON,1
9,calcite-core,"1.12.0",hdfs://nameservice1/var/lib/spark/Data/calcite-core-1.12.0.jar,calcite-core-1.12.0.jar,COMMON,1
10,calcite-druid,"1.12.0",hdfs://nameservice1/var/lib/spark/Data/calcite-druid-1.12.0.jar,calcite-druid-1.12.0.jar,COMMON,1
11,calcite-linq4j,"1.12.0",hdfs://nameservice1/var/lib/spark/Data/calcite-linq4j-1.12.0.jar,calcite-linq4j-1.12.0.jar,COMMON,1
12,commons-dbcp,"1.4",hdfs://nameservice1/var/lib/spark/Data/commons-dbcp-1.4.jar,commons-dbcp-1.4.jar,COMMON,1
13,datanucleus-api-jdo,"4.2.1",hdfs://nameservice1/var/lib/spark/Data/datanucleus-api-jdo-4.2.1.jar,datanucleus-api-jdo-4.2.1.jar,COMMON,1
14,datanucleus-rdbms,"4.1.7",hdfs://nameservice1/var/lib/spark/Data/datanucleus-rdbms-4.1.7.jar,datanucleus-rdbms-4.1.7.jar,COMMON,1
15,error_prone_annotations,"2.3.3",hdfs://nameservice1/var/lib/spark/Data/error_prone_annotations-2.3.3.jar,error_prone_annotations-2.3.3.jar,COMMON,1
16,fastutil,"6.5.6",hdfs://nameservice1/var/lib/spark/Data/fastutil-6.5.6.jar,fastutil-6.5.6.jar,COMMON,1
17,flux-flock-utils,"1.6",hdfs://nameservice1/var/lib/spark/Data/flux-flock-utils-1.6.jar,flux-flock-utils-1.6.jar,COMMON,1
18,guice-assistedinject,"3.0",hdfs://nameservice1/var/lib/spark/Data/guice-assistedinject-3.0.jar,guice-assistedinject-3.0.jar,COMMON,1
19,hamcrest-all,"1.1",hdfs://nameservice1/var/lib/spark/Data/hamcrest-all-1.1.jar,hamcrest-all-1.1.jar,COMMON,1
20,hamcrest-core,"1.3",hdfs://nameservice1/var/lib/spark/Data/hamcrest-core-1.3.jar,hamcrest-core-1.3.jar,COMMON,1
21,hbase-client,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-client-2.1.0-cdh6.3.1.jar,hbase-client-2.1.0-cdh6.3.1.jar,COMMON,1
22,hbase-common,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-common-2.1.0-cdh6.3.1.jar,hbase-common-2.1.0-cdh6.3.1.jar,COMMON,1
23,hbase-hadoop-compat,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-hadoop-compat-2.1.0-cdh6.3.1.jar,hbase-hadoop-compat-2.1.0-cdh6.3.1.jar,COMMON,1
24,hbase-hadoop2-compat,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-hadoop2-compat-2.1.0-cdh6.3.1.jar,hbase-hadoop2-compat-2.1.0-cdh6.3.1.jar,COMMON,1
25,hbase-metrics,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-metrics-2.1.0-cdh6.3.1.jar,hbase-metrics-2.1.0-cdh6.3.1.jar,COMMON,1
