id,artifact_id,version,path,full_name
1,Database,2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/Database-2.0.jar,Database-2.0.jar
2,HdrHistogram,2.1.12,hdfs://adc-data-hadoop/user/data_admin/Data_deps/HdrHistogram-2.1.12.jar,HdrHistogram-2.1.12.jar
3,HikariCP,2.5.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/HikariCP-2.5.1.jar,HikariCP-2.5.1.jar
4,HikariCP-java7,2.4.9,hdfs://adc-data-hadoop/user/data_admin/Data_deps/HikariCP-java7-2.4.9.jar,HikariCP-java7-2.4.9.jar
5,JedisWrapper,1.1.8,hdfs://adc-data-hadoop/user/data_admin/Data_deps/JedisWrapper-1.1.8.jar,JedisWrapper-1.1.8.jar
6,LatencyUtils,2.0.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/LatencyUtils-2.0.3.jar,LatencyUtils-2.0.3.jar
7,MediaUrl,2.0.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/MediaUrl-2.0.3.jar,MediaUrl-2.0.3.jar
8,MediaUrlWrapper,0.2.11,hdfs://adc-data-hadoop/user/data_admin/Data_deps/MediaUrlWrapper-0.2.11.jar,MediaUrlWrapper-0.2.11.jar
9,RPMUtils,1.0.6,hdfs://adc-data-hadoop/user/data_admin/Data_deps/RPMUtils-1.0.6.jar,RPMUtils-1.0.6.jar
10,RpmPredictorCommons,1.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/RpmPredictorCommons-1.0.1.jar,RpmPredictorCommons-1.0.1.jar
11,ST4,4.0.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/ST4-4.0.4.jar,ST4-4.0.4.jar
12,UserAgentApp,1.0.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/UserAgentApp-1.0.0.jar,UserAgentApp-1.0.0.jar
13,UserAgentDetection,2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/UserAgentDetection-2.0.jar,UserAgentDetection-2.0.jar
14,accessors-smart,2.4.7,hdfs://adc-data-hadoop/user/data_admin/Data_deps/accessors-smart-2.4.7.jar,accessors-smart-2.4.7.jar
15,activation,1.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/activation-1.1.1.jar,activation-1.1.1.jar
16,aerospike-client,5.0.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/aerospike-client-5.0.0.jar,aerospike-client-5.0.0.jar
17,ant,1.9.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/ant-1.9.1.jar,ant-1.9.1.jar
18,ant-launcher,1.9.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/ant-launcher-1.9.1.jar,ant-launcher-1.9.1.jar
19,antlr-runtime,3.5.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/antlr-runtime-3.5.2.jar,antlr-runtime-3.5.2.jar
20,apache-log4j-extras,1.2.17,hdfs://adc-data-hadoop/user/data_admin/Data_deps/apache-log4j-extras-1.2.17.jar,apache-log4j-extras-1.2.17.jar
21,apacheds-i18n,2.0.0-M15,hdfs://adc-data-hadoop/user/data_admin/Data_deps/apacheds-i18n-2.0.0-M15.jar,apacheds-i18n-2.0.0-M15.jar
22,apacheds-kerberos-codec,2.0.0-M15,hdfs://adc-data-hadoop/user/data_admin/Data_deps/apacheds-kerberos-codec-2.0.0-M15.jar,apacheds-kerberos-codec-2.0.0-M15.jar
23,api-asn1-api,1.0.0-M20,hdfs://adc-data-hadoop/user/data_admin/Data_deps/api-asn1-api-1.0.0-M20.jar,api-asn1-api-1.0.0-M20.jar
24,api-util,1.0.0-M20,hdfs://adc-data-hadoop/user/data_admin/Data_deps/api-util-1.0.0-M20.jar,api-util-1.0.0-M20.jar
25,asm,9.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/asm-9.1.jar,asm-9.1.jar
26,assertj-core,1.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/assertj-core-1.5.0.jar,assertj-core-1.5.0.jar
27,audience-annotations-0.13.0,0.13.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/audience-annotations-0.13.0.jar,audience-annotations-0.13.0.jar
28,audience-annotations-0.5.0,0.5.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/audience-annotations-0.5.0.jar,audience-annotations-0.5.0.jar
29,avro,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/avro-1.11.2.jar,avro-1.11.2.jar
30,avro-ipc,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/avro-ipc-1.11.2.jar,avro-ipc-1.11.2.jar
31,avro-mapred,1.11.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/avro-mapred-1.11.2.jar,avro-mapred-1.11.2.jar
32,bonecp,0.8.0.RELEASE,hdfs://adc-data-hadoop/user/data_admin/Data_deps/bonecp-0.8.0.RELEASE.jar,bonecp-0.8.0.RELEASE.jar
33,caffeine,2.9.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/caffeine-2.9.3.jar,caffeine-2.9.3.jar
34,catch-exception,1.2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/catch-exception-1.2.0.jar,catch-exception-1.2.0.jar
35,checker-qual,3.19.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/checker-qual-3.19.0.jar,checker-qual-3.19.0.jar
36,common-config-2.0.0,2.0.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/common-config-2.0.0.jar,common-config-2.0.0.jar
37,common-config-2.1.1,2.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/common-config-2.1.1.jar,common-config-2.1.1.jar
38,common-util,2.1.29,hdfs://adc-data-hadoop/user/data_admin/Data_deps/common-util-2.1.29.jar,common-util-2.1.29.jar
39,commons-beanutils,1.9.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-beanutils-1.9.4.jar,commons-beanutils-1.9.4.jar
40,commons-cli,1.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-cli-1.2.jar,commons-cli-1.2.jar
41,commons-codec-1.10,1.10,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-codec-1.10.jar,commons-codec-1.10.jar
42,commons-codec-1.16.0,1.16.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-codec-1.16.0.jar,commons-codec-1.16.0.jar
43,commons-collections,3.2.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-collections-3.2.2.jar,commons-collections-3.2.2.jar
44,commons-compress,1.23.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-compress-1.23.0.jar,commons-compress-1.23.0.jar
45,commons-configuration2,2.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-configuration2-2.1.1.jar,commons-configuration2-2.1.1.jar
46,commons-crypto,1.1.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-crypto-1.1.0.jar,commons-crypto-1.1.0.jar
47,commons-dbcp,1.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-dbcp-1.4.jar,commons-dbcp-1.4.jar
48,commons-httpclient,3.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-httpclient-3.0.1.jar,commons-httpclient-3.0.1.jar
49,commons-io,2.13.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-io-2.13.0.jar,commons-io-2.13.0.jar
50,commons-lang,2.6,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-lang-2.6.jar,commons-lang-2.6.jar
51,commons-lang3,3.12.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-lang3-3.12.0.jar,commons-lang3-3.12.0.jar
52,commons-logging-1.1.3,1.1.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-logging-1.1.3.jar,commons-logging-1.1.3.jar
53,commons-logging-1.2,1.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-logging-1.2.jar,commons-logging-1.2.jar
54,commons-math3,3.6.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-math3-3.6.1.jar,commons-math3-3.6.1.jar
55,commons-net,3.6,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-net-3.6.jar,commons-net-3.6.jar
56,commons-pool,1.5.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-pool-1.5.4.jar,commons-pool-1.5.4.jar
57,commons-pool2-2.11.1,2.11.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-pool2-2.11.1.jar,commons-pool2-2.11.1.jar
58,commons-pool2-2.4.2,2.4.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-pool2-2.4.2.jar,commons-pool2-2.4.2.jar
59,commons-text,1.10.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/commons-text-1.10.0.jar,commons-text-1.10.0.jar
60,curator-client,4.2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/curator-client-4.2.0.jar,curator-client-4.2.0.jar
61,curator-framework,2.13.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/curator-framework-2.13.0.jar,curator-framework-2.13.0.jar
62,curator-recipes,2.13.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/curator-recipes-2.13.0.jar,curator-recipes-2.13.0.jar
63,datanucleus-api-jdo,4.2.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/datanucleus-api-jdo-4.2.4.jar,datanucleus-api-jdo-4.2.4.jar
64,datanucleus-core,4.1.17,hdfs://adc-data-hadoop/user/data_admin/Data_deps/datanucleus-core-4.1.17.jar,datanucleus-core-4.1.17.jar
65,datanucleus-rdbms,4.1.19,hdfs://adc-data-hadoop/user/data_admin/Data_deps/datanucleus-rdbms-4.1.19.jar,datanucleus-rdbms-4.1.19.jar
66,derby,10.14.2.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/derby-10.14.2.0.jar,derby-10.14.2.0.jar
67,deviceapi,2.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/deviceapi-2.1.1.jar,deviceapi-2.1.1.jar
68,deviceatlas-common,1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/deviceatlas-common-1.1.jar,deviceatlas-common-1.1.jar
69,dnsjava,2.1.7,hdfs://adc-data-hadoop/user/data_admin/Data_deps/dnsjava-2.1.7.jar,dnsjava-2.1.7.jar
70,dropwizard-metrics-hadoop-metrics2-reporter,0.1.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/dropwizard-metrics-hadoop-metrics2-reporter-0.1.2.jar,dropwizard-metrics-hadoop-metrics2-reporter-0.1.2.jar
71,error_prone_annotations,2.10.0,hdfs://adc-data-hadoop/user/data_admin/Data_deps/error_prone_annotations-2.10.0.jar,error_prone_annotations-2.10.0.jar
72,etl-gson,2.2.5,hdfs://adc-data-hadoop/user/data_admin/Data_deps/etl-gson-2.2.5.jar,etl-gson-2.2.5.jar
73,flux-flock-utils,1.6,hdfs://adc-data-hadoop/user/data_admin/Data_deps/flux-flock-utils-1.6.jar,flux-flock-utils-1.6.jar
74,gcs-connector-hadoop2,2.1.3-shaded,hdfs://adc-data-hadoop/user/data_admin/Data_deps/gcs-connector-hadoop2-2.1.3-shaded.jar,gcs-connector-hadoop2-2.1.3-shaded.jar
75,gnu-crypto,2.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/gnu-crypto-2.0.1.jar,gnu-crypto-2.0.1.jar
76,groovy-all,2.1.6,hdfs://adc-data-hadoop/user/data_admin/Data_deps/groovy-all-2.1.6.jar,groovy-all-2.1.6.jar
77,gson-2.2.4,2.2.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/gson-2.2.4.jar,gson-2.2.4.jar
78,gson-2.8.2,2.8.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/gson-2.8.2.jar,gson-2.8.2.jar
79,gson-2.8.9,2.8.9,hdfs://adc-data-hadoop/user/data_admin/Data_deps/gson-2.8.9.jar,gson-2.8.9.jar
80,guava,16.0.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/guava-16.0.1.jar,guava-16.0.1.jar
81,hadoop-annotations,3.3.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-annotations-3.3.4.jar,hadoop-annotations-3.3.4.jar
82,hadoop-auth-2.10.2,2.10.2,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-auth-2.10.2.jar,hadoop-auth-2.10.2.jar
83,hadoop-auth-3.3.4,3.3.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-auth-3.3.4.jar,hadoop-auth-3.3.4.jar
84,hadoop-client-api,3.3.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-client-api-3.3.4.jar,hadoop-client-api-3.3.4.jar
85,hadoop-client-runtime,3.3.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-client-runtime-3.3.4.jar,hadoop-client-runtime-3.3.4.jar
86,hadoop-common,3.3.4,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-common-3.3.4.jar,hadoop-common-3.3.4.jar
87,hadoop-shaded-guava,1.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-shaded-guava-1.1.1.jar,hadoop-shaded-guava-1.1.1.jar
88,hadoop-shaded-protobuf_3_7,1.1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hadoop-shaded-protobuf_3_7-1.1.1.jar,hadoop-shaded-protobuf_3_7-1.1.1.jar
89,hamcrest-all,1.1,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hamcrest-all-1.1.jar,hamcrest-all-1.1.jar
90,hamcrest-core,1.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hamcrest-core-1.3.jar,hamcrest-core-1.3.jar
91,hamcrest-library,1.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hamcrest-library-1.3.jar,hamcrest-library-1.3.jar
92,hbase-client,2.5.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hbase-client-2.5.3.jar,hbase-client-2.5.3.jar
93,hbase-common,2.5.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hbase-common-2.5.3.jar,hbase-common-2.5.3.jar
94,hbase-hadoop-compat,2.5.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hbase-hadoop-compat-2.5.3.jar,hbase-hadoop-compat-2.5.3.jar
95,hbase-hadoop2-compat,2.5.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hbase-hadoop2-compat-2.5.3.jar,hbase-hadoop2-compat-2.5.3.jar
96,hbase-logging,2.5.3,hdfs://adc-data-hadoop/user/data_admin/Data_deps/hbase-logging-2.5.3.jar,hbase-logging-2.5.3.jar
